ShortWindow,LongWindow,TotalReturn,MaxDrawdown,SharpeRatio
5,30,526.606,0.541405,0.0420047
5,50,961.771,0.63712,0.0445845
5,100,451.877,0.721681,0.0397921
10,30,413.758,0.616085,0.0404533
10,50,1465.22,0.723775,0.0456948
10,100,321.965,0.794411,0.0378986
15,30,1219.47,0.614876,0.0458477
15,50,847.625,0.749887,0.042976
15,100,221.352,0.817419,0.0359696
20,30,521.808,0.820909,0.0406391
20,50,247.802,0.795832,0.0369004
20,100,314.616,0.803177,0.0377093
